Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
22299369,Black Hat Python: Python Programming for Hackers and Pentesters,Justin Seitz,"Seitz, Justin",,"=""1593275900""","=""9781593275907""",0,4.01,No Starch Press,Paperback,192,2014,2014,,2016/04/11,"to-read, acm2","to-read (#53), acm2 (#53)",to-read,,,,,,,0,,,,,
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas,"Thomas, Dave","Chad Fowler, Andy Hunt","=""0974514055""","=""9780974514055""",0,4.05,Pragmatic Bookshelf,Paperback,828,2004,2000,,2016/04/11,"to-read, acm2","to-read (#52), acm2 (#52)",to-read,,,,,,,0,,,,,
179207,Head First Object-Oriented Analysis and Design: A Brain Friendly Guide to OOA&D,Brett D. McLaughlin,"McLaughlin, Brett D.","Gary Pollice, David      West","=""0596008678""","=""9780596008673""",0,3.94,O'Reilly Media,Paperback,600,2006,2006,,2016/04/11,"to-read, acm2","to-read (#51), acm2 (#51)",to-read,,,,,,,0,,,,,
154155,Programming Perl,Tom Christiansen,"Christiansen, Tom","Larry Wall, Jon Orwant","=""0596000278""","=""9780596000271""",0,4.06,O'Reilly Media,Paperback,1104,2000,1991,,2016/04/11,"to-read, acm2","to-read (#50), acm2 (#50)",to-read,,,,,,,0,,,,,
17582,The Norton Anthology of Short Fiction,Richard Bausch,"Bausch, Richard",,"=""0393926117""","=""9780393926118""",0,4.17,W. W. Norton & Company,Paperback,1776,2006,1978,,2016/04/11,"to-read, acm2","to-read (#49), acm2 (#49)",to-read,,,,,,,0,,,,,
86379,Perl Best Practices,Damian Conway,"Conway, Damian",,"=""0596001738""","=""9780596001735""",0,4.28,O'Reilly Media,Paperback,544,2005,2005,,2016/04/11,"to-read, acm2","to-read (#48), acm2 (#48)",to-read,,,,,,,0,,,,,
58128,Head First Design Patterns,Eric Freeman,"Freeman, Eric","Kathy Sierra, Bert Bates, Elisabeth Robson","=""0596007124""","=""9780596007126""",0,4.22,O'Reilly Media,Paperback,638,2004,2004,,2016/04/11,"to-read, acm2","to-read (#47), acm2 (#47)",to-read,,,,,,,0,,,,,
1002148,Perl & LWP,Sean M. Burke,"Burke, Sean M.",,"=""0596001789""","=""9780596001780""",0,3.89,O'Reilly Media,Paperback,264,2002,2002,,2016/04/11,"to-read, acm2","to-read (#46), acm2 (#46)",to-read,,,,,,,0,,,,,
9015553,Assembly Language Programming and the IBM 360 and 370 Computers,Walter G. Rudd,"Rudd, Walter G.",,"=""0130495360""","=""9780130495365""",0,3.00,Prentice Hall,Unknown Binding,553,1976,1976,,2016/04/11,"to-read, acm2","to-read (#45), acm2 (#45)",to-read,,,,,,,0,,,,,
43634,Postfix: The Definitive Guide: The Definitive Guide,Kyle D. Dent,"Dent, Kyle D.","Andy Oram, Wietse Venema","=""0596002122""","=""9780596002121""",0,3.79,O'Reilly Media,Paperback,280,2003,2003,,2016/04/11,"to-read, acm2","to-read (#44), acm2 (#44)",to-read,,,,,,,0,,,,,
